Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-07-20 08:11:13.047000,4153.87096774,0,4166.12903226,0,4180.32258065,0,4177.09677419,0,4133.5483871,0,4164.51612903,0,4191.93548387,0,4198.38709677,0,4187.09677419,0,4205.80645161,0,4156.77419355,0,4190.0,0,4241.29032258,0,4149.67741935,0,0,0,?
2018-07-20 08:11:13.049000,4148.38709677,0,4167.41935484,0,4161.29032258,0,4150.96774194,0,4123.87096774,0,4153.87096774,0,4207.74193548,0,4142.25806452,0,4171.93548387,0,4144.19354839,0,4165.80645161,0,4186.12903226,0,4195.48387097,0,4129.35483871,0,0,0,?
2018-07-20 08:11:13.053000,4154.83870968,0,4170.96774194,0,4130.32258065,0,4162.90322581,0,4156.77419355,0,4165.80645161,0,4209.35483871,0,4172.58064516,0,4180.32258065,0,4177.74193548,0,4132.90322581,0,4170.0,0,4209.35483871,0,4138.70967742,0,0,0,?
2018-07-20 08:11:13.057000,4127.09677419,0,4128.38709677,0,4145.16129032,0,4176.4516129,0,4144.83870968,0,4151.29032258,0,4209.35483871,0,4139.67741935,0,4146.4516129,0,4145.48387097,0,4161.93548387,0,4190.64516129,0,4240.32258065,0,4117.41935484,0,0,0,?
2018-07-20 08:11:13.067000,4134.51612903,0,4120.32258065,0,4137.41935484,0,4132.58064516,0,4149.03225806,0,4151.61290323,0,4171.61290323,0,4165.16129032,0,4142.58064516,0,4174.83870968,0,4164.83870968,0,4162.58064516,0,4194.83870968,0,4127.74193548,0,0,0,?
2018-07-20 08:11:13.075000,4177.41935484,0,4174.51612903,0,4136.77419355,0,4132.58064516,0,4171.29032258,0,4166.12903226,0,4173.5483871,0,4166.4516129,0,4184.51612903,0,4190.32258065,0,4163.22580645,0,4164.19354839,0,4234.19354839,0,4130.32258065,0,0,0,?
2018-07-20 08:11:13.082000,4135.16129032,0,4142.25806452,0,4139.03225806,0,4154.19354839,0,4118.38709677,0,4148.06451613,0,4189.67741935,0,4140.32258065,0,4170.96774194,0,4163.22580645,0,4145.16129032,0,4195.16129032,0,4201.61290323,0,4131.29032258,0,0,0,?
2018-07-20 08:11:13.093000,4164.83870968,0,4152.58064516,0,4170.96774194,0,4155.48387097,0,4169.03225806,0,4158.70967742,0,4161.61290323,0,4174.51612903,0,4197.74193548,0,4173.5483871,0,4161.61290323,0,4207.41935484,0,4224.83870968,0,4157.41935484,0,0,0,?
2018-07-20 08:11:13.103000,4170.32258065,0,4170.96774194,0,4141.61290323,0,4163.87096774,0,4162.25806452,0,4161.29032258,0,4190.0,0,4159.67741935,0,4166.77419355,0,4167.09677419,0,4149.35483871,0,4195.80645161,0,4224.19354839,0,4166.77419355,0,0,0,?
2018-07-20 08:11:13.108000,4153.5483871,0,4170.96774194,0,4132.25806452,0,4160.96774194,0,4134.51612903,0,4160.32258065,0,4152.90322581,0,4165.48387097,0,4140.32258065,0,4163.87096774,0,4141.93548387,0,4202.58064516,0,4212.25806452,0,4156.12903226,0,0,0,?
2018-07-20 08:11:13.117000,4172.90322581,0,4178.38709677,0,4140.96774194,0,4149.67741935,0,4176.77419355,0,4162.58064516,0,4192.58064516,0,4152.90322581,0,4183.87096774,0,4191.93548387,0,4169.35483871,0,4181.61290323,0,4232.90322581,0,4170.32258065,0,0,0,?
2018-07-20 08:11:13.121000,4147.09677419,0,4151.61290323,0,4156.77419355,0,4136.12903226,0,4154.19354839,0,4147.41935484,0,4181.61290323,0,4159.35483871,0,4155.80645161,0,4160.96774194,0,4154.19354839,0,4191.61290323,0,4212.90322581,0,4130.0,0,0,0,?
2018-07-20 08:11:13.129000,4173.22580645,0,4164.19354839,0,4138.06451613,0,4161.29032258,0,4130.0,0,4170.96774194,0,4180.0,0,4190.32258065,0,4150.0,0,4190.0,0,4170.0,0,4170.0,0,4237.41935484,0,4161.29032258,0,0,0,?
2018-07-20 08:11:13.138000,4147.41935484,0,4143.5483871,0,4152.90322581,0,4173.22580645,0,4154.83870968,0,4163.22580645,0,4199.03225806,0,4146.12903226,0,4138.38709677,0,4178.38709677,0,4174.51612903,0,4173.87096774,0,4204.19354839,0,4127.74193548,0,0,0,?
2018-07-20 08:11:13.145000,4129.67741935,0,4154.51612903,0,4152.25806452,0,4177.09677419,0,4136.77419355,0,4146.77419355,0,4147.41935484,0,4170.96774194,0,4154.19354839,0,4146.77419355,0,4157.41935484,0,4143.5483871,0,4228.38709677,0,4105.16129032,0,0,0,?
2018-07-20 08:11:13.152000,4132.25806452,0,4145.16129032,0,4174.83870968,0,4177.74193548,0,4138.70967742,0,4173.5483871,0,4179.03225806,0,4192.58064516,0,4209.03225806,0,4204.19354839,0,4177.41935484,0,4191.93548387,0,4243.22580645,0,4166.4516129,0,0,0,?
2018-07-20 08:11:13.161000,4161.61290323,0,4144.51612903,0,4170.96774194,0,4154.83870968,0,4140.64516129,0,4169.67741935,0,4183.22580645,0,4167.41935484,0,4154.51612903,0,4190.96774194,0,4163.22580645,0,4188.70967742,0,4243.22580645,0,4133.87096774,0,0,0,?
2018-07-20 08:11:13.167000,4134.19354839,0,4168.70967742,0,4142.90322581,0,4173.22580645,0,4163.87096774,0,4166.12903226,0,4176.77419355,0,4177.41935484,0,4151.61290323,0,4193.87096774,0,4164.51612903,0,4205.48387097,0,4244.51612903,0,4165.48387097,0,0,0,?
2018-07-20 08:11:13.174000,4171.61290323,0,4144.51612903,0,4161.61290323,0,4170.0,0,4137.09677419,0,4162.90322581,0,4204.51612903,0,4176.77419355,0,4173.22580645,0,4181.29032258,0,4147.09677419,0,4194.51612903,0,4213.87096774,0,4151.61290323,0,0,0,?
2018-07-20 08:11:13.183000,4137.74193548,0,4169.35483871,0,4135.16129032,0,4154.83870968,0,4178.38709677,0,4160.32258065,0,4178.38709677,0,4150.32258065,0,4162.25806452,0,4143.87096774,0,4170.0,0,4199.03225806,0,4229.35483871,0,4102.25806452,0,0,0,?
2018-07-20 08:11:13.193000,4143.5483871,0,4147.74193548,0,4188.70967742,0,4139.67741935,0,4178.38709677,0,4168.06451613,0,4208.70967742,0,4190.64516129,0,4198.06451613,0,4195.80645161,0,4164.19354839,0,4199.03225806,0,4220.32258065,0,4177.74193548,0,0,0,?
2018-07-20 08:11:13.199000,4165.16129032,0,4170.64516129,0,4142.58064516,0,4132.90322581,0,4135.16129032,0,4145.80645161,0,4157.09677419,0,4146.4516129,0,4161.61290323,0,4161.29032258,0,4147.09677419,0,4171.61290323,0,4202.90322581,0,4160.96774194,0,0,0,?
